dataset,pred_len,config,MSE,MAE
ETTh1,96,baseline_test,0.3994253873825073,0.4084329903125763
ETTh1,96,contextual_ve_test,0.39420086145401,0.4040025472640991
ETTh1,96,var_relation_test,0.39210566878318787,0.4038093090057373
ETTh1,96,adaptive_patch_test,0.5905910730361938,0.504871129989624
ETTh1,96,multiscale_patch_test,0.39717596769332886,0.4091166853904724
ETTh1,96,all_improvements_test,0.5889634490013123,0.502769410610199
ETTh1,96,baseline,0.3994253873825073,0.4084329903125763
ETTh1,96,contextual_ve,0.39420086145401,0.4040025472640991
ETTh1,96,var_relation,0.39210566878318787,0.4038093090057373
ETTh1,96,adaptive_patch,0.5905910730361938,0.504871129989624
ETTh1,96,multiscale_patch,0.39717596769332886,0.4091166853904724
ETTh1,96,all_improvements,0.5889634490013123,0.502769410610199
